week_start,channel,traffic_sessions,orders,conversion_rate,avg_order_value,revenue,gross_margin_pct,new_customers,returning_customers,context_notes
2025-12-08,Organic Search,52634,1276,0.0242,63.72,81306.72,0.447,502,773,
2025-12-08,Paid Ads,36184,641,0.0177,56.49,36210.09,0.395,382,259,
2025-12-08,Email,12032,528,0.0439,69.22,36548.16,0.513,138,391,
2025-12-15,Organic Search,54150,1343,0.0248,61.06,82003.58,0.469,560,783,
2025-12-15,Paid Ads,35596,647,0.0182,58.92,38121.24,0.393,381,266,
2025-12-15,Email,13106,516,0.0394,69.71,35970.36,0.516,156,360,
2025-12-22,Organic Search,52384,1224,0.0234,63.88,78189.12,0.467,527,696,
2025-12-22,Paid Ads,35462,662,0.0187,59.06,39097.72,0.397,387,275,
2025-12-22,Email,12474,514,0.0412,73.11,37578.54,0.501,141,373,
2025-12-29,Organic Search,51940,1247,0.024,65.83,82090.01,0.457,548,699,
2025-12-29,Paid Ads,34181,628,0.0184,60.01,37686.28,-0.12,374,254,
2025-12-29,Email,12046,489,0.0406,71.82,35119.98,0.503,126,363,
2026-01-05,Organic Search,51290,1320,0.0257,64.66,85351.2,0.461,558,761,
2026-01-05,Paid Ads,37786,709,0.0188,58.1,41192.9,0.392,406,303,
2026-01-05,Email,11700,477,0.0408,72.65,34654.05,0.518,138,339,
2026-01-12,Organic Search,43988,1080,0.0246,63.58,68666.4,0.453,422,658,Site outage impacted organic traffic (approx. 1 day).
2026-01-12,Paid Ads,35118,642,0.0183,57.94,37197.48,0.393,389,253,
2026-01-12,Email,12184,494,0.0405,72.54,35834.76,0.508,135,359,
2026-01-19,Organic Search,55683,1288,0.0231,64.52,83101.76,0.462,504,785,
2026-01-19,Paid Ads,37404,704,0.0188,59.95,42204.8,0.406,405,299,
2026-01-19,Email,11923,486,0.0408,76.27,37067.22,0.522,139,346,
2026-01-26,Organic Search,57356,1323,0.0231,62.59,82806.57,0.464,519,804,
2026-01-26,Paid Ads,38465,705,0.0183,58.43,41193.15,0.399,421,284,Bid strategy update; conversion expected to improve.
2026-01-26,Email,13503,626,0.0464,71.51,44765.26,0.5,179,447,
2026-02-02,Organic Search,52724,1267,0.024,64.46,81670.82,0.475,536,731,
2026-02-02,Paid Ads,37489,662,0.0177,70.38,46591.56,0.398,407,255,Premium bundle launch week; higher AOV expected.
2026-02-02,Email,12642,520,0.0411,84.35,43862.0,0.511,138,382,Premium bundle launch week; higher AOV expected.
2026-02-09,Organic Search,59474,1462,0.0246,63.29,92529.98,0.476,625,837,
2026-02-09,Paid Ads,37706,730,0.0194,61.72,45055.6,0.396,406,325,
2026-02-09,Email,12001,503,0.0419,74.83,37639.49,0.518,144,359,
2026-02-16,Organic Search,57999,1448,0.025,67.57,97841.36,0.473,653,795,
2026-02-16,Paid Ads,38440,692,0.018,64.23,44447.16,0.41,399,293,
2026-02-16,Email,0,513,0.0,72.93,37413.09,0.525,140,374,
2026-02-23,Organic Search,55421,1388,0.025,68.53,95119.64,0.472,601,787,
2026-02-23,Paid Ads,35229,692,0.0196,59.25,41001.0,0.396,397,295,
2026-02-23,Email,13261,488,0.0368,74.15,36185.2,0.518,146,341,
